Id,Label
688,Dharmesh Yelande
689,Punit Pathak
690,Raghav Juyal
691,Isha Rikhi
692,Neena Gupta
693,Ashrut Jain
694,Simran Nisha
695,Sheetal Thakur
696,Manav Vij
697,Aanchal Chauhan
698,Sunny Hinduja
699,Vijayant Kohli
700,Lokesh Mittal
701,Jitendra Gupta
702,Irrfan Khan
703,Mithila Palkar
704,Amala Akkineni
705,Akash Khurana
706,Donna Munshi
707,Abir Abrar
708,Siddharth Menon
709,Kunal Kapoor
710,Amit Sadh
711,Sunny Kaushal
712,Andrew Havill
713,Manjit Singh
714,Christopher James Burton
715,Aisha Sharma
716,Myrah Dandekar
717,Devdutta Nage
718,Piyush Mishra
719,Jassie Gill
720,Jason Tham
721,Bijou Thaangjam
722,Jeeveshu Ahluwalia
723,Utkarsh Sharma
724,Ishita Chauhan
725,Ayesha Jhulka
726,Dharmendra
727,Sunny Deol
728,Asrani
729,Binnu Dhillon
730,Atul Srivastava
731,Arjun Rampal
732,Sonu Sood
733,Gurmeet Choudhary
734,Siddhant Kapoor
735,Harshvardhan Rane
736,Luv Sinha
737,Avinash Tiwary
738,Tripti Dimri
739,Abrar Qazi
740,Sahiba Bali
741,Benjamin Gilani
742,Parmeet Sethi
743,Farhana Bhat
744,Shagufta Ali
745,Shahana Goswami
746,Om Singh
747,Shruti Sharma
748,Robin Das
749,Durga Sharma Shrivastva
750,Paoli Dam
751,Vipin Katyal
752,Tathastu
753,Sunil Grover
754,Namit Das
755,Saanand Verma
756,Usha Nagar
757,Dev Rajora
758,Divyendu Sharma
759,Sushmita Mukherjee
760,Abhishek Bharate
761,Riya Sisodiya
762,Kiran Khoje
763,Saroj Sharma
764,Bhavik Jain
765,Sonali Jain
766,Rahul Goyal
767,Sai Tamhankar
768,Tahir Raj Bhasin
769,Nazma Ali Shaikh
770,Ashwini Giri
771,Neeraj Sood
772,Purab Kohli
773,Swanand Kirkire
774,Vihaan Das Maskara
775,Manish Anand
776,Raj Babbar
777,Juby Devasia
778,Lata Gandi
779,Gurbani
780,Bikramjeet Kanerwal
781,Mustaq Khan
782,Ehsaas Madan
783,Abhishek Bachchan
784,Jasmin Bajwa
785,Ashnoor Kaur
786,Swairaj Sandhu
787,Neelu Kohli
788,Poonam Shah
789,Priyanka Shah
790,Sukhmani Sadana
791,Jackky Bhagnani
792,Kritika Kamra
793,Perlene Bhersaina
794,Rishi Panchal
795,Neha Reddy
796,Siddharth Bhardwaj
797,Anirban Bhattacharyya
798,Jeetendra Shastri
799,Komal Singh
800,Danish Husain
801,Rohan Vinod Mehra
802,Karan Singh Chhabra
803,Rhea Chakraborty
804,Varun Mitra
805,Digangana Suryavanshi
806,Arya Poorti
807,Mahesh Thakur
808,Govinda
809,Prabhleen Sandhu
810,Sohum Shah
811,Jyoti Malshe
812,Anita Date
813,Ronjini Chakraborty
814,Deepak Damle
815,Kajol
816,Riddhi Sen
817,Tota Roy Chowdhury
818,Neha Dhupia
819,Joakim Skarli
820,Shreya Mehta
821,Sonia Goswami
822,Hiten Patel
823,Anil Dhawan
824,Ashwini Kalsekar
825,Chhaya Kadam
826,Rashmi Agdekar
827,Abhishek Shukla
828,Surekha Sikri
829,Shardul Rana
830,Rahul Tewari
831,Arun Kalra
832,Bo Derek
833,Candy Clark
834,Anneliese van der Pol
835,Mariana Paola Vicente
836,Saru Maini
837,Robert Palmer Watkins
838,Dawn Richard
839,Aishwarya Devan
840,Shahnawaz Khan
841,Zara Khan
842,Mugdha Meharia
843,Tina Desai
844,Manish Vatssalya
845,Govind Namdev
846,Shubhangi Gokhale
847,Scarlett Mellish Wilson
848,Nisa Deys
849,Shakti Kapoor
850,Poonam Pandey
851,Sonal Chauhan
852,Rajdeep Choudhury
853,Sudip Sarangi
854,Sachin Parikh
855,Sakshi Tanwar
856,Mithilesh Chaturvedi
857,Seema Azmi
858,Rahul Bagga
859,Pihu Myra Vishwakarma
860,Preity Zinta
861,Ameesha Patel
862,Amit Mistry
863,Hemant Pandey
864,Mukesh Chhabra
865,Nirmal Rishi
866,Anirudh Tanwar
867,Harish Khanna
868,Shah Rukh Khan
869,Katrina Kaif
870,Madhavan
871,Sara Ali Khan
872,Siddarth Jadhav
873,Vaidehi Parshurami
874,Ulka Gupta
875,Suchitra Bandekar
876,Sulabha Arya
877,Zachary Coffin
878,Angad Bedi
879,Danish Bhatt
880,Ryan Sturz
881,Tusshar Kapoor
882,Prakash Raj
883,Johnny Lever
884,Prachee Shah Paandya
885,Upasna Singh
886,Rajpal Yadav
887,Kitu Gidwani
888,Vibhoutee Sharma
889,Sanjay Gurbaxani
890,Jasmeet Singh Bhatia
891,Paul Varghese
892,Dipannita Sharma
893,Rohit Roy
894,Narendra Jha
895,Suresh Menon
896,Raj Arjun
897,Shubham Chintamani
898,Shubham Tukaram
899,Yug
900,Sagar
901,Loveleen Mishra
902,Utkarsh Mazumdar
903,Prasoon Narayan
904,Avinash Razdan
905,Aamir Khan
906,Fatima Sana Shaikh
907,Lloyd Owen
908,Joe Azzopardi
909,Terence J. Rotolo
910,Sharat Saxena
911,Gurmeet Ram Rahim Singh
912,Honeypreet Insan
913,Arsh Bajwa
914,Richa Meena
915,Inder Pal Singh
916,Om Puri
917,Rahul Singh
918,Milind Gunaji
919,Sagarika Ghatge
920,Rumana Molla
921,Nikhil Pandey
922,Prashantt Guptha
923,Diwakar Kumar
924,Kuldeep Sareen
925,Saharsh Kumar Shukla
926,Rushad Rana
927,Shriswara Dubey
928,Nana Patekar
929,Priyanshu Chatterjee
930,Himansh Kohli
931,Prem Chopra
932,Rati Agnihotri
933,Aayam Mehta
934,Hannah Panneriy
935,Roma Bali
936,Rituraj Singh
937,Yash Sinha
938,Rajendra Sethi
939,Brahma Mishra
940,Leena Prabhu
941,Shiladitya Sen
942,Rahul Patel
943,Rahul Dutta
944,Vishwas
945,Girish
946,Malay Garg
947,Rajiv Khanna
948,Yogendra Vikram Singh
949,Richa Sharma
950,Sweta Sharma
951,Chandrachur Singh
952,Rajat Kapoor
953,Shiv Panditt
954,Lushin Dubey
955,Suraj Sharma
956,Mehreen Pirzada
957,Salima Raza
958,Nidhi Bisht
959,Sunil Mehra
960,Rishabh Arora
961,Mustafa Burmawala
962,Shabbir Burmawala
963,Carla Dennis
964,Mridanjali Rawal
965,Shaurya Singh
966,Karhan Dev
967,Jashan Singh Kohli
968,Priyanka Shukla
969,Manoj Bakshi
970,Swara Bhaskar
971,Mayur More
972,Harsh Hansraj
973,Ishtiyak Khan
974,Vishwa Bhanu
975,Suman Patel
976,Prithviraj Sukumaran
977,Madhurima Tuli
978,Lalit Behl
979,Geetanjali Kulkarni
980,Palomi Ghosh
981,Navnindra Behl
982,Anil K. Rastogi
983,Pallavi Sharda
984,Gauhar Khan
985,Sunny Leone
986,Chloé Booyens
987,Rudhraksh Jaiswal
988,Suchitra Pillai
989,Sippora Zoutewelle
990,Smita Tambe
991,Vaibhav Raj Gupta
992,Hema Malini
993,Vinod Khanna
994,Rajesh Shringarpure
995,Raveena Tandon
996,Madhur Mittal
997,Saheem Khan
998,Piyush Kaushik
999,Kuldeep Sharma
1000,Alisha Khan
1001,Divya Jagdale
1002,Rohini Hattangadi
1003,Bharat Dabholkar
1004,Amardeep Insan
1005,Ashok Insan
1006,Divya Insan
1007,Ishwar Insan
1008,Jaswinder Insan
1009,Manoj Insan
1010,Rajesh Insan
1011,Rakesh Insan
1012,Raman Insan
1013,Randhir Insan
1014,Dalip Sondhi
1015,Greg Kriek
1016,Anisa Butt
1017,Carishma Basday
1018,Seema Biswas
1019,Paula McGlynn
1020,Anirban Chakraborty
1021,Malvika Sitlani
1022,Nishant Dahiya
1023,Chandrachoor Rai
1024,Amrita Bagchi
1025,Aarnaa Sharma
1026,Rajatabha Dutta
1027,Sachin Tendulkar
1028,Mayuresh Pem
1029,Saba Qamar
1030,Dishita Sehgal
1031,Swati Das
1032,Sumit Gulati
1033,Angshuman Nandi
1034,Sahani
1035,Zoya Afroz
1036,Darshan Jariwala
1037,Kiran Juneja
1038,Ankit Arora
1039,Shekhar Shukla
1040,Shreyas Porus Pardiwalla
1041,Babloo Mukherji
1042,Farzil Pardiwalla
1043,Huma Qureshi
1044,Madalina Bellariu Ion
1045,Lisa Ray
1046,Jayesh Raj
1047,Sonal Singh
1048,Samonica Shrivastava
1049,Digvijay Singh
1050,Danish Kohli
1051,Gautam Vig
1052,Arif Bhaldar
1053,Rahul Taneja
1054,Pooja Gajria
1055,Shailesh Upadhyay
1056,Madiha Imam
1057,Shreya Chaudhary
1058,Vikas Verma
1059,Suneel Sinha
1060,Manpreet Toor
1061,Shruti Haasan
1062,Gautam Gulati
1063,Ninad Kamat
1064,Ranjeet
1065,Sohail Khan
1066,Zhu Zhu
1067,Matin Rey Tangu
1068,Jason D'Souza
1069,Bhuvan Arora
1070,Vikram Thapa
1071,Upendra Limaye
1072,Sandesh Kulkarni
1073,Shiv Darshan
1074,Natasha Fernandez
1075,Upen Patel
1076,Lalit Tiwari
1077,Krishan Tandon
1078,Dimppy Ramdayal
1079,Rumi Khan
1080,Soni Kaur
1081,Saswata Chatterjee
1082,Chitrak Bandyopadhyay
1083,Saravajeet Tiwari
1084,Jimmeey Sirole
1085,Ashish Bisht
1086,Simon Frenay
1087,Areesz Ganddi
1088,Gaurav Nanda
1089,Arpita Pal
1090,Raj Suri
1091,Plabita Borthakur
1092,Manoj Babani
1093,Rajveer Ankur Singh
1094,Vibha Tyagi
1095,Ankur Vikal
1096,Parvin Dabas
1097,Abhinav Sharma
1098,Rashmi Jha
1099,Björn Freiberg
1100,Martavious Gayles
1101,Bruce Huther
1102,Attila G. Kerekes
1103,Christina Murphy
1104,Daxesh Patel
1105,Rana Ranbir
1106,Chandan Roy Sanyal
1107,Nidhhi Agerwal
1108,Shubha Khote
1109,Neha Sharma
1110,Karan Kundrra
1111,Tanvi Azmi
1112,Rohit Choudhary
1113,Swati Semwal
1114,Bidita Bag
1115,Shradha Das
1116,Bhagwan Tiwari
1117,Anita Sahgal
1118,Naveen Tyagi
1119,Sanjay Inamdar
1120,Prisha Aneja
1121,Vinti Aneja
1122,Marianne Borgo
1123,Rachel Burnell
1124,Aisha Choudhary
1125,Mukesh Choudhary
1126,Urmila Choudhary
1127,Reshma D'Souza
1128,Diksha Garg
1129,Rahul Godara
1130,Aadar Jain
1131,Anya Singh
1132,Mikhail Yawalkar
1133,Anna Ador
1134,Cyndy Khojol
1135,Sange
1136,Peter Muxka Manuel
1137,Prince Parvinder Singh
1138,Anshul Chauhan
1139,Anmol Bajaj
1140,Mohit Marwah
1141,Kenneth Desai
1142,Mrudula Murali
1143,Kenny Basumatary
1144,R. Bhakti Klein
1145,Aishwarya Rajesh
1146,Rajesh Shringarpore
1147,Purnanand Wandekar
1148,Usha Naik
1149,Esha Tewari
1150,Jason Louder
1151,Aneesha Joshi
1152,Mark Justice
1153,Rupinder Nagra
1154,Catherine Dyer
1155,James Cole
1156,Robin Dyke
1157,Inaamulhaq
1158,Gippy Grewal
1159,Hussain Dalal
1160,Sunil Shetty
1161,Shaheed K. Woods
1162,Hugh Bonneville
1163,Gillian Anderson
1164,Manish Dayal
1165,Michael Gambon
1166,David Hayman
1167,Simon Callow
1168,Vir Das
1169,Payal Ghosh
1170,Bharti Achrekar
1171,Jinal Belani
1172,Shilpa Shinde
1173,Reyhna Malhotra
1174,Archana Shastry
1175,Shekhar Suman
1176,Rahul Verma Rajput
1177,Veer Aryan
1178,Sakshi Dwivedi
1179,Dolly Kaushik
1180,Ankur Bhatia
1181,Archana Gautam
1182,Uttam Halder
1183,Charanpreet Singh
1184,Rina Charaniya
1185,Arvind Gaur
1186,Jasveer Kaur
1187,Amar Singh
1188,Vedita Pratap Singh
1189,Shweta Tripathi
1190,Trimala Adhikari
1191,Irfan Khan
1192,Mohammad Samad
1193,Randheer Rai
1194,Sridevi
1195,Sajal Ali
